SEP=;
name sub 001;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;1;1;1
name sub 002;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;1;2;2
name sub 003;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;1;3;3
name sub 004;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;1;4;1
name sub 005;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;1;5;2
name sub 006;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;1;1;3
name sub 007;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;1;2;1
name sub 008;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;1;3;2
name sub 009;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;0;4;3
name sub 010;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;0;5;4
